t_session_sec,abs_ts,phase_rec,trial_idx_rec,simulation_intensity_rec,simulation_intensity_pct_rec,simulation_intensity_window_open_rec,mu_power_rec,beta_power_rec
2.4535,1785919153.186874,A,1,0.5000,0.5000,0,1.0497,0.8254
2.5314,1785919153.264624,A,1,0.5200,0.5667,0,1.0093,0.7601
2.6104,1785919153.343695,A,1,0.4801,0.3871,0,1.0527,0.7488
2.6904,1785919153.423696,A,1,0.4392,0.3438,0,1.0857,0.7440
2.7685,1785919153.501868,A,1,0.4075,0.3333,0,1.0804,0.7542
2.8466,1785919153.579867,A,1,0.4087,0.4118,0,1.0623,0.7479
2.9265,1785919153.659778,A,1,0.5176,0.7714,0,0.9875,0.7111
3.0045,1785919153.737935,A,1,0.6290,0.8889,0,0.9501,0.7271
3.0853,1785919153.819319,A,1,0.7322,0.9730,1,0.8819,0.7099
3.1627,1785919153.895958,A,1,0.8125,1,1,0.8175,0.7189
3.2428,1785919153.976154,A,1,0.8688,1,1,0.7907,0.7177
3.3197,1785919154.053010,A,1,0.9081,1,1,0.7629,0.6996
3.3982,1785919154.131655,A,1,0.9284,0.9756,1,0.7750,0.7048
3.4766,1785919154.209865,A,1,0.9284,0.9286,1,0.8308,0.6863
3.5545,1785919154.287718,A,1,0.9080,0.8605,1,0.8846,0.6868
3.6345,1785919154.367971,A,1,0.8402,0.6818,1,0.9694,0.7304
3.7125,1785919154.445740,A,1,0.8215,0.7778,1,0.9236,0.6814
3.7924,1785919154.525681,A,1,0.7511,0.5870,1,1.0043,0.7034
3.8705,1785919154.603953,A,1,0.7683,0.8085,1,0.9208,0.6667
3.9495,1785919154.682859,A,1,0.8003,0.8750,1,0.8769,0.6761
4.0285,1785919154.762020,A,1,0.8419,0.9388,1,0.8388,0.6699
4.1067,1785919154.840140,A,1,0.8833,0.9800,1,0.7824,0.6874
4.1846,1785919154.917959,A,1,0.9183,1,1,0.6863,0.6557
4.2645,1785919154.997932,A,1,0.9428,1,1,0.6842,0.6524
4.3425,1785919155.076037,A,1,0.9600,1,1,0.6647,0.6382
4.4226,1785919155.155977,A,1,0.9664,0.9815,1,0.6874,0.6298
4.4996,1785919155.233017,A,1,0.9547,0.9273,1,0.7557,0.6451
4.5785,1785919155.311768,A,1,0.9415,0.9107,1,0.7863,0.6504
4.6565,1785919155.389778,A,1,0.9064,0.8246,1,0.8433,0.6541
4.7346,1785919155.467885,A,1,0.8621,0.7586,1,0.8717,0.6400
4.8116,1785919155.544994,A,1,0.8221,0.7288,1,0.8837,0.6526
4.8885,1785919155.621831,A,1,0.8405,0.8833,1,0.8155,0.6227
4.9665,1785919155.699885,A,1,0.8637,0.9180,1,0.7691,0.6216
5.0456,1785919155.779250,A,1,0.8853,0.9355,1,0.7364,0.6322
5.1414,1785919155.874731,B,1,0.9197,1,1,0.6712,0.6230
5.2355,1785919155.968763,B,1,0.9438,1,1,0.6218,0.6391
5.3145,1785919156.047753,B,1,0.9606,1,1,0.6093,0.6249
5.3934,1785919156.126758,B,1,0.9634,0.9697,1,0.6421,0.6185
5.4714,1785919156.204665,B,1,0.9385,0.8806,1,0.7219,0.6458
